trial_number,value,state,datetime_start,datetime_complete,use_percent_margin,margin_percent,margin_usdt,atr_mult_tp1,atr_mult_tp2,atr_mult_sl,trailing_start_atr,trailing_step_atr,breakeven_atr,breakeven_buffer_pts,tp1_pct,tp2_pct
0,-1.2854611538028888,1,2025-10-26T01:00:05.444908,2025-10-26T01:00:12.461130,True,2.6045474537350644,19.62570606780109,2.643094408731154,5.7891887855959085,1.4317130118346317,1.787002512064062,0.9064110345584238,1.9905920917597828,0.80041267724807,0.4959663525928634,0.5386515829933659
1,-1.2514311301517818,1,2025-10-26T01:00:12.466129,2025-10-26T01:00:16.797017,True,1.011799821957352,4.699604572059014,2.3264217562408347,2.398702657439046,1.5799947354817658,2.208290811742806,0.8464663878129854,2.3050094017142415,0.8428775774391168,0.3807079744949182,0.18118861871662972
2,-1.7916377140699726,1,2025-10-26T01:00:16.802017,2025-10-26T01:00:20.689626,True,3.313737648511874,37.48709932420261,0.8359070801237024,3.2526256505339104,2.8516674039395653,1.4942397479770528,0.4174737414806753,1.9104099862710835,0.08447260633685894,0.6891601569231383,0.7710911378114282
3,-1.8341838037757072,1,2025-10-26T01:00:20.693628,2025-10-26T01:00:24.412225,True,2.6112305723907823,41.573917662505714,0.5976314478529359,2.475868273214187,1.7708907859126142,2.1677669592632918,0.584828785743189,2.386585477373696,0.7587316353362187,0.6961828080155664,0.3168797536599144
4,-0.6184927048005646,1,2025-10-26T01:00:24.415224,2025-10-26T01:00:28.360664,False,4.445678861265452,8.075341729671875,2.7244196229250504,1.93041770744132,2.5278342023751166,1.0838888632689865,0.7057281725856972,1.5328152707446976,0.9600113839991076,0.21726430367428426,0.15686379755988883
5,-2.00000816382631,1,2025-10-26T01:00:28.364663,2025-10-26T01:00:32.275672,True,4.997662819258128,18.59651116008133,2.527056349529244,1.4293481931499903,2.205017288530946,1.687419618559947,0.5456640221860604,1.2720233570485102,0.6555095416478216,0.4691361552608919,0.5277257413620644
6,-2.315457105056058,1,2025-10-26T01:00:32.279672,2025-10-26T01:00:36.162235,False,3.2458949384424947,47.420848281786725,1.6085033265593656,5.490404623716758,2.7093043744633905,2.551162395783956,0.6674020582522933,0.6805459469702215,0.843316795161625,0.5923702660019234,0.7922966954452877
7,-1.017108522328655,1,2025-10-26T01:00:36.167237,2025-10-26T01:00:39.930047,False,1.4224627780368388,15.01071131659709,0.8777874290629699,5.682721423811163,1.1365264602360545,2.7679126030643126,0.921011666458474,1.4757241626325768,0.7213804146532034,0.7370582484867627,0.18626299520980252
8,-1.4373184555027252,1,2025-10-26T01:00:39.934044,2025-10-26T01:00:44.100967,False,0.5725546222226786,11.838780117174768,2.519069860240769,4.4392722678468335,1.3272010848609916,3.308597733102195,0.5832496158297179,2.0155808584050723,0.33171120645951424,0.42259377678248156,0.7410349587447821
9,-1.226011588629947,1,2025-10-26T01:00:44.106964,2025-10-26T01:00:48.046528,True,2.5428579997856766,5.6966592153463536,1.9953760316537255,2.595095486479309,0.9391299784500098,2.7643947327917058,0.15392982878847214,1.6052054519455257,0.1531491621615898,0.31846000288416365,0.3069204274246613
10,-1.1430801435417233,1,2025-10-26T01:00:48.061525,2025-10-26T01:00:51.900137,False,4.610713221512588,27.181779928702003,2.9254694116405657,1.0123671998780281,2.4032987797854037,0.6472231529396828,0.31581783025547333,0.8579184193737017,0.9805634495625843,0.24492799744650284,0.12456809068439839
11,-0.9631506964680417,1,2025-10-26T01:00:51.905133,2025-10-26T01:00:55.642616,False,1.5545594921164563,11.868252106167919,1.2290949376271283,4.4501184149503,0.8781131427331137,0.934462297583809,0.9999724484848183,1.308157654537339,0.5035410811344405,0.7969548759665964,0.2683747291618453
12,-0.465450443981105,1,2025-10-26T01:00:55.647617,2025-10-26T01:00:59.747091,False,1.7220648257315756,1.2709092515543485,1.2853521141443185,4.247672084932246,2.1145593997959895,0.8354264704987531,0.7643914552594987,1.0640123959372567,0.5026967910545646,0.7982547884956186,0.33032365354617366
13,-0.2752273073589778,1,2025-10-26T01:00:59.751089,2025-10-26T01:01:03.871312,False,4.109989646693161,3.7781004033089083,1.5929455832361636,4.181759470936609,2.1085371400952284,1.1096843384642714,0.7418408348908944,0.9972444485909916,0.5168930339729763,0.5962272310616046,0.4246719565530581
